Date,Open,High,Low,Close,Volume
2021-11-05,48820,49640,48720,49520,2169900
2021-11-08,49520,49990,49400,49450,1687900
2021-11-09,49490,49520,48720,48920,1845900
2021-11-10,48920,49240,48670,49240,1592400
2021-11-11,49240,49740,48620,48720,2122200
2021-11-12,48820,49830,48670,49740,2240300
2021-11-15,49990,49990,49400,49400,1908900
2021-11-16,49400,50500,49120,49880,3506200
2021-11-17,49880,49930,49740,49880,1186200
2021-11-18,49880,50100,48980,48980,2004700
2021-11-19,49490,49640,48280,48380,2481300
2021-11-22,48470,48720,48220,48220,1670100
2021-11-23,48220,49030,48170,49030,1150800
2021-11-24,49080,49930,48920,49690,2445600
2021-11-25,49990,51660,49880,50760,5487400
2021-11-26,50800,51170,50150,50200,1996200
2021-11-29,49490,50200,49490,49780,1993000
2021-11-30,49780,49990,49240,49290,2563100
2021-12-01,49490,50040,49080,49830,1254900
2021-12-02,49520,49880,49340,49340,952900
2021-12-03,49640,49640,48470,48470,2009700
2021-12-06,48470,48980,47810,47950,2393800
2021-12-07,48220,48720,47950,48720,1451000
2021-12-08,48980,48980,48220,48520,1064800
2021-12-09,48280,49240,48280,49240,993100
2021-12-10,48920,49240,48420,48620,1160000
2021-12-13,48980,48980,48520,48720,900200
2021-12-14,48720,48920,48420,48560,1144500
2021-12-15,48560,48870,48520,48670,808400
2021-12-16,49490,49490,48470,48470,1245000
2021-12-17,48520,49240,48470,48920,1152100
2021-12-20,48980,48980,48470,48620,1019800
2021-12-21,48560,48670,48280,48330,1112300
2021-12-22,48220,48420,48010,48220,1670500
2021-12-23,48220,48220,47210,47310,1930300
2021-12-24,47460,47950,47090,47610,1186700
2021-12-27,47810,48220,47350,47950,793700
2021-12-28,47950,48170,47760,47950,567300
2021-12-29,48120,48120,47510,47510,912200
2021-12-30,47560,47860,47460,47510,810800
2021-12-31,47610,47900,47210,47210,1607400
2022-01-04,47410,47810,47350,47460,1935000
2022-01-05,47560,47810,47460,47510,1193800
2022-01-06,47510,47710,47460,47460,1192400
2022-01-07,47250,47560,47250,47410,1016800
2022-01-10,47310,47460,46640,46740,1640800
2022-01-11,46690,46780,45220,45430,2509300
2022-01-12,45220,45980,44910,45490,1740700
2022-01-13,46130,47050,45590,46740,1811800
2022-01-14,46550,46740,46130,46350,686700
2022-01-17,45930,46350,45170,45170,1568400
2022-01-18,44800,45490,44670,44710,1209900
2022-01-19,44710,45280,44670,44800,744900
2022-01-20,44860,46180,44800,45070,1334600
2022-01-21,45170,45590,44760,44760,841200
2022-01-24,44760,44910,43140,43300,2024200
2022-01-25,43240,44420,42640,43900,1192600
2022-01-26,44150,44150,43400,43650,913600
2022-01-27,43650,44000,43350,43590,719600
2022-01-28,43650,45430,43590,45430,1552300
2022-02-07,45690,45730,45170,45430,518400
2022-02-08,45430,46610,45430,45980,845100
2022-02-09,46550,46550,45980,46020,1142700
2022-02-10,46390,46690,45770,46690,974900
2022-02-11,46610,46890,46390,46500,641600
2022-02-14,46180,46500,45880,46180,774100
2022-02-15,46180,46550,45930,46240,655400
2022-02-16,46550,46940,46350,46350,614200
2022-02-17,46640,47090,46180,47090,853700
2022-02-18,46840,46940,46550,46780,618800
2022-02-21,46780,47710,46690,47460,1386000
2022-02-22,47210,47350,46690,47140,1158200
2022-02-23,47000,47670,47000,47210,973800
2022-02-24,47210,47460,45690,46690,1349600
2022-02-25,46890,47410,46740,46840,1059900
2022-02-28,46840,47460,46840,47350,1504600
2022-03-01,47710,47710,46940,47410,1101900
2022-03-02,47210,47410,47050,47250,1088900
2022-03-03,47310,47710,47310,47410,957600
2022-03-04,47350,47610,47210,47460,1343800
2022-03-07,47250,47670,46780,47610,1687800
2022-03-08,47610,48420,47000,48120,2227500
2022-03-09,48010,48980,48010,48470,2204000
2022-03-10,48870,48870,48010,48010,778700
2022-03-11,47950,48010,47050,47310,1139000
2022-03-14,47210,47210,45930,46610,1943000
2022-03-15,46610,46610,45590,46180,1872000
2022-03-16,46240,46840,45930,46500,1139600
2022-03-17,46610,47050,46450,47050,1046000
2022-03-18,47210,49030,47210,48280,2815100
2022-03-21,48330,48720,48220,48380,1560700
2022-03-22,48720,49240,48420,48920,2079200
2022-03-23,48980,49490,48720,48980,1975800
2022-03-24,48720,49340,48380,48720,1823700
2022-03-25,48780,48980,48520,48560,1228100
2022-03-28,48470,50100,48330,49780,3501600
2022-03-29,50040,53240,50040,53240,8154300
2022-03-30,53700,54450,53040,53810,2830700
2022-03-31,53540,56130,53090,54300,3472300
2022-04-01,54270,56340,53850,56340,4317300
2022-04-04,57610,57610,55470,55470,2687800
2022-04-05,55370,56640,55320,55320,1863900
2022-04-06,55010,57870,55010,57350,4179000
2022-04-07,57720,59320,56900,57500,3915200
2022-04-08,57500,57820,55060,55060,4069700
2022-04-12,55320,56590,54120,55730,3162100
2022-04-13,55840,58420,55730,58420,3322800
2022-04-14,58470,60340,58470,59170,3529400
2022-04-15,58420,59850,57870,58360,3121400
2022-04-18,58360,60190,57870,58620,3356100
2022-04-19,59130,59370,56840,56840,4731000
2022-04-20,56840,57350,55630,56840,3295000
2022-04-21,56430,58830,56430,56840,4068500
2022-04-22,57100,57820,53810,56380,5691600
2022-04-25,55880,56290,52480,52480,4605900
2022-04-26,50840,53290,49240,52940,5431400
2022-04-27,51570,52790,51000,52270,2529700
2022-04-28,52230,54210,52030,53540,2530400
2022-04-29,53290,54350,52880,53290,3991500
2022-05-04,53240,53740,52830,53040,1598400
2022-05-05,53090,53540,51710,53150,2194900
2022-05-06,51920,52790,50840,50840,2430900
2022-05-09,49880,50250,47710,47710,4499100
2022-05-10,47710,50150,46690,49930,2816700
2022-05-11,49740,51710,49120,51710,1667700
2022-05-12,50410,51710,48220,48520,2591500
2022-05-13,48780,50250,47250,47510,4103700
2022-05-16,49490,49490,47310,47310,1740900
2022-05-17,47210,50600,46940,50600,2045800
2022-05-18,50600,50800,49490,49580,1934400
2022-05-19,48280,49580,48280,49240,1228600
2022-05-20,49580,50200,49240,49490,1410400
2022-05-23,49830,49830,48780,48980,1136900
2022-05-24,48980,49830,48720,49830,1384700
2022-05-25,50500,53290,50100,53290,3770800
2022-05-26,53390,54350,53090,53590,1426400
2022-05-27,53590,56840,53540,56750,3878400
2022-05-30,56380,57050,55410,56490,2496900
2022-05-31,56490,56490,54560,55790,2157000
2022-06-01,55790,57300,55730,56750,2036500
2022-06-02,57240,58260,56380,56590,2292800
2022-06-03,56590,57870,56290,57870,1755900
2022-06-06,57870,58880,56840,57350,2558200
2022-06-07,57190,58680,55130,58680,3908000
2022-06-08,59040,59690,58110,58360,2660400
2022-06-09,58620,58830,57500,58520,1706300
2022-06-10,57560,58200,55840,55840,2972500
2022-06-13,54090,55820,52860,52980,3393300
2022-06-14,52860,55260,52550,54770,2308300
2022-06-15,55680,55680,54090,55630,1762600
2022-06-16,55930,57660,55440,56550,2517500
2022-06-17,55510,56910,54710,56550,2321400
2022-06-20,57470,58090,56120,56550,2483900
2022-06-21,56800,57470,54710,54770,2460200
2022-06-22,55200,55570,51870,51940,2971400
2022-06-23,51630,53340,51440,52550,2022500
2022-06-24,52920,53960,52550,52550,902400
2022-06-27,53110,54030,52810,53170,1254800
2022-06-28,55010,55440,53590,55140,2296600
2022-06-29,54650,55320,54220,55320,1182600
2022-06-30,55010,55260,52980,52980,1506500
2022-07-01,53470,54580,52130,54090,1696500
2022-07-04,54400,54400,52860,53290,1005500
2022-07-05,53960,53960,52480,52480,1395600
2022-07-06,51690,52810,51330,51330,2232400
2022-07-07,51570,52000,51070,51070,1286300
2022-07-08,51570,51630,51070,51390,910400
2022-07-11,52000,52000,50900,50900,998100
2022-07-12,50900,51330,50830,51330,602800
2022-07-13,51630,51630,50710,50710,1140700
2022-07-14,50900,51330,50520,50900,891300
2022-07-15,51630,51630,50520,50520,1382300
2022-07-18,50900,51940,50580,51010,1264900
2022-07-19,50950,51010,50520,51010,1185400
2022-07-20,52240,52810,51630,52190,2848900
2022-07-21,52810,52810,51940,52240,1804200
2022-07-22,53110,53170,52300,52300,1307200
2022-07-25,53470,53470,52300,52480,2245900
2022-07-26,52860,52860,52130,52130,1128800
2022-07-27,52000,52360,51870,52360,771100
2022-07-28,52360,52740,51070,52190,1664800
2022-07-29,52300,52360,51330,51330,1941800
2022-08-01,51630,51760,51070,51630,1815100
2022-08-02,51630,52190,51330,51810,1314800
2022-08-03,52240,52360,51760,52130,2249500
2022-08-04,52300,53220,52190,52920,3046800
2022-08-05,52920,53590,52620,52740,1773100
2022-08-08,52810,53110,52420,52860,1586800
2022-08-09,52860,53780,52680,52980,2320800
2022-08-10,53050,53290,52860,52860,1121400
2022-08-11,52980,53340,52680,52860,1852800
2022-08-12,52680,53170,52680,53170,1243100
2022-08-15,53220,54770,53220,54650,3085000
2022-08-16,54650,54940,54150,54520,1382800
2022-08-17,54710,54770,54090,54280,1506200
2022-08-18,54030,55140,54030,54280,2552900
2022-08-19,54090,54400,52980,53410,1957600
2022-08-22,53220,53660,52810,53340,1634000
2022-08-23,52920,53470,52920,53470,1085700
2022-08-24,53790,53970,53530,53590,1008000
2022-08-25,53590,53900,53470,53660,1143900
2022-08-26,53730,54600,53660,54220,1936600
2022-08-29,54100,54100,52680,53790,2228000
2022-08-30,53790,54100,53470,53730,1153200
2022-08-31,53340,54100,53340,53850,1173700
2022-09-05,53790,53900,53410,53590,1020900
2022-09-06,53470,53730,53340,53340,1171600
2022-09-07,53160,53410,52230,52230,2236400
2022-09-08,52290,52850,52100,52410,1135600
2022-09-09,52610,52850,52410,52410,1145400
2022-09-12,52410,52410,52410,52410,1145400
2022-09-13,52850,53040,52410,52610,1046400
