Date,Open,High,Low,Close,Volume
2021-02-17,47240,47990,47190,47990,1253600
2021-02-18,47770,48880,47150,48880,1434400
2021-02-19,47820,48660,47550,48440,1433200
2021-02-22,48530,49190,47110,48750,1481000
2021-02-23,48080,49640,47770,48880,1393900
2021-02-24,49510,49510,47110,48080,950100
2021-02-25,48660,48840,47150,48390,1013500
2021-02-26,47190,48840,47190,48440,926800
2021-03-01,48840,48840,47860,48220,777700
2021-03-02,48220,48480,47190,48080,926300
2021-03-03,47370,48080,47330,47510,1075300
2021-03-04,47820,47950,47370,47510,1671400
2021-03-05,47510,47770,47020,47240,1294800
2021-03-08,47330,47550,46660,47110,1390100
2021-03-09,46660,47240,44440,46350,1587600
2021-03-10,46440,47110,45370,47110,576300
2021-03-11,47110,47990,46930,47060,1108700
2021-03-12,47060,47330,46660,47060,1122300
2021-03-15,47060,47190,46840,47110,2632400
2021-03-16,47110,47110,46620,46840,1360600
2021-03-17,46310,46790,46220,46530,1260400
2021-03-18,46880,47370,46750,47370,1473900
2021-03-19,46930,48170,46930,48170,1625700
2021-03-22,48170,48170,46440,47680,973900
2021-03-23,47110,47550,46710,47330,1034700
2021-03-24,46880,47990,46130,47950,1104100
2021-03-25,47680,49950,47590,49060,4322000
2021-03-26,48880,50440,48880,49950,2927800
2021-03-29,49990,50440,49910,50130,3140900
2021-03-30,50130,52710,49770,51990,5179600
2021-03-31,52220,53110,51990,52390,2823600
2021-04-01,52660,55280,51990,54660,2230900
2021-04-02,55060,55060,53990,54660,2255500
2021-04-05,55990,56080,54750,55240,2249000
2021-04-06,55240,57550,55100,56440,1979400
2021-04-07,56440,56880,55860,56750,1698500
2021-04-08,57060,57060,55100,55730,1509200
2021-04-09,55460,55730,54700,55500,1755500
2021-04-12,55500,59020,54840,58660,3481900
2021-04-13,61770,62750,60440,62530,5053200
2021-04-14,62220,63020,61370,62220,4102600
2021-04-15,62170,64440,62170,62620,3419000
2021-04-16,62620,64040,62220,63550,2988000
2021-04-19,63150,64080,62700,63990,2820300
2021-04-20,63990,64840,63550,63590,3108200
2021-04-22,63100,63500,61100,61680,3319500
2021-04-23,61680,61990,59100,61460,4410000
2021-04-26,61770,61990,58220,58440,2434500
2021-04-27,58440,59100,58440,58700,1631700
2021-04-28,58700,59190,57680,58440,1613300
2021-04-29,58440,59100,58080,58220,2181100
2021-05-04,58040,59950,56390,59370,1732600
2021-05-05,59370,60350,59370,59420,1268600
2021-05-06,59420,59550,58220,58880,1064200
2021-05-07,58660,58660,57100,58660,1769100
2021-05-10,58660,58880,57370,58880,1099300
2021-05-11,58880,59280,57990,58220,1164200
2021-05-12,57770,58660,56880,57680,1390400
2021-05-13,56880,57770,56220,56220,1723500
2021-05-14,56220,56440,54750,55680,2609800
2021-05-17,55990,57770,55100,55100,2417900
2021-05-18,55100,55990,53770,53770,2452700
2021-05-19,53330,53770,52480,53370,2178400
2021-05-20,53370,54750,53330,54620,2084900
2021-05-21,54660,54660,53550,54440,1622400
2021-05-24,54440,54930,53770,54260,1985800
2021-05-25,54390,54390,53860,54350,1514900
2021-05-26,54220,54300,53550,54080,1677500
2021-05-27,53730,53770,52880,53460,2081300
2021-05-28,53370,54660,52880,53240,1847400
2021-05-31,53240,53330,51550,52220,1846800
2021-06-01,51640,53770,51550,53330,2155400
2021-06-02,53420,54170,51990,52220,3130600
2021-06-03,52440,52790,51990,52660,2488900
2021-06-04,52660,53770,52660,53770,3689200
2021-06-07,54570,56220,54220,54660,3681800
2021-06-08,55500,55860,52880,53240,2699600
2021-06-09,53330,53770,51990,52790,1813300
2021-06-10,52660,52970,51770,51770,2929000
2021-06-11,51990,52440,51680,52440,1729000
2021-06-14,52530,53550,52480,53330,1933100
2021-06-15,53330,54220,53110,54080,1348000
2021-06-16,54080,54080,52880,52930,1180600
2021-06-17,52440,52840,51990,51990,2848500
2021-06-18,52440,52570,51990,52170,1788400
2021-06-21,52220,52840,52130,52170,1497200
2021-06-22,52440,52750,52040,52220,2161600
2021-06-23,52440,52480,51770,51950,1281200
2021-06-24,52390,52530,51910,52220,1374300
2021-06-25,52080,52440,51860,52220,1763300
2021-06-28,52220,52260,51860,51860,1711000
