Date,Open,High,Low,Close,Volume
2022-10-10,56460,58940,55560,58110,1661900
2022-10-11,58110,58940,57360,57870,1718400
2022-10-12,58110,59100,57780,59020,1274000
2022-10-13,58510,60830,58360,60830,3171000
2022-10-14,60990,61400,60740,60990,1436500
2022-10-17,60830,61900,60740,61080,1671300
2022-10-18,61830,63460,61580,63060,3137000
2022-10-19,62730,63290,62730,63130,1038000
2022-10-20,63130,63880,62480,63880,2290400
2022-10-21,63880,64620,63060,63460,2097600
2022-10-24,63630,63630,60990,60990,1578600
2022-10-25,61080,63290,61080,62640,1657600
2022-10-26,62640,62990,62310,62640,824700
2022-10-27,62640,64690,62640,64690,2283600
2022-10-28,64690,64780,64050,64280,1438800
2022-10-31,64050,64690,63720,64690,1572200
2022-11-01,64690,68000,64690,66100,3180100
2022-11-02,66100,66190,64530,64530,1830500
2022-11-03,64280,66520,64280,65940,1278300
2022-11-04,65860,66760,64280,65940,2909200
2022-11-07,66010,67770,65940,67770,2638300
2022-11-08,67770,67900,65600,67900,2301400
2022-11-09,67600,67770,65940,66680,2701100
2022-11-10,66680,66760,63460,64620,2637600
2022-11-11,65030,66270,64620,64620,1564400
2022-11-14,64280,67600,62730,65120,2596800
2022-11-15,65120,65440,63060,63460,2089600
2022-11-16,62220,64950,60830,61400,3542600
2022-11-17,63290,64530,61900,62640,2599500
2022-11-18,63460,64120,62400,63460,2229300
2022-11-21,63460,64220,63380,64220,1787400
2022-11-22,63880,66100,63810,65519,2281200
2022-11-23,65519,65690,64530,65440,773100
2022-11-24,65120,66920,65030,66920,2881100
2022-11-25,67010,68150,66760,67770,2596100
2022-11-28,67600,68750,67340,67340,2299200
2022-11-29,67010,68680,66360,68400,2404200
2022-11-30,68400,68400,67180,68250,1995600
2022-12-01,67260,68320,67260,67900,2216800
2022-12-02,67830,69220,67600,69220,2521800
2022-12-05,69320,70560,69320,70070,2066000
2022-12-06,70070,70150,68000,68000,1395300
2022-12-07,68400,69480,67420,68000,1839600
2022-12-08,68400,69220,66760,66760,1597100
2022-12-09,66760,67420,65940,65940,2408500
2022-12-12,66190,67510,64620,64690,3142700
2022-12-13,64780,65440,63630,64280,3610400
2022-12-14,65440,65440,63880,63880,3522100
2022-12-15,63880,65290,63720,63970,2595300
